Nazwa_handlowa,Angielska_nazwa,Inter_substancja_aktywna,Inter_produkty_spozywcze,Skutek_uboczny,Zalecenia,interakcje z dzialaniami,Interakcje,Strona,Substancja_aktywna,Wskazania,,,,,,,,,,,,,,,,,,,,,,,,,,Wskazania,Choroby
Acytretyna,Acitretine,,alkohol,,,,"RÃ³wnoczesne przyjÄ™cie pojedynczej dawki acytretyny z alkoholem skutkuje wytworzeniem nowego zwiÄ…zku - etretynatu. Jest on silnie teratogenny i dÅ‚uÅ¼ej eliminuje siÄ™ z organizmu, stÄ…d kobietom w wieku rozrodczym nie wolno podawaÄ‡ alkoholu w Å¼adnej postaci (napojach, jedzeniu, lekach) w trakcie kuracji jak i dwa miesiÄ…ce po jej zakoÅ„czeniu.
MinipiguÅ‚ka (zawierajÄ…ca niskie dawki progesteronu) nie moÅ¼e byÄ‡ uznawana za skutecznÄ… metodÄ™ antykoncepcyjnÄ….
",https://www.doz.pl//leki/w12-Acytretyna,acytretyna,"CiÄ™Å¼kie postacie Å‚uszczycy - erytrodermiczna, uogÃ³lniona lub miejscowa krostkowa, a takÅ¼e schorzenia objawiajÄ…ce siÄ™ powaÅ¼nymi zaburzeniami procesu rogowacenia skÃ³ry: wrodzona rybia Å‚uska, Å‚upieÅ¼ czerwony mieszkowy, choroba Dariera oraz takie zaburzenia rogowacenia skÃ³ry, ktÃ³rych nie moÅ¼na wyleczyÄ‡ innymi metodami.",,,,,,,,,,,,,,,,,,,,,,,,,,choroba Dariera,
Adalimumab,Adalimumab,,,zawal miesnia sercowego,,,"Brak jest badaÅ„ dotyczÄ…cych wpÅ‚ywu leczenia adalimumabem na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w mechanicznych. NaleÅ¼y zachowaÄ‡ ostroÅ¼noÅ›Ä‡ podczas jazdy samochodem, poniewaÅ¼ lek moÅ¼e powodowaÄ‡ zawroty gÅ‚owy i zaburzenia widzenia.
Adalimumab zwiÄ™ksza stÄ™Å¼enie enzymÃ³w wÄ…trobowych we krwi, a takÅ¼e kinazy kreatynowej (CK). StÄ™Å¼enie kinazy jest oznaczane przy podejrzeniu zawaÅ‚u miÄ™Å›nia sercowego czy przy pojawiajÄ…cych siÄ™ bÃ³lach miÄ™Å›niowych i osÅ‚abieniu miÄ™Å›ni.
",https://www.doz.pl//leki/w13-Adalimumab,adalimumab,"Adalimumab to przeciwciaÅ‚o monoklonalne stosowane w postaci wstrzykniÄ™Ä‡ podskÃ³rnych w terapii chorÃ³b ukÅ‚adu ruchu takich jak reumatoidalne zapalenie stawÃ³w,Â mÅ‚odzieÅ„cze idiopatyczne zapalenie stawÃ³w, w aktywnej postaci Å‚uszczycowego zapalenia stawÃ³w oraz zesztywniajÄ…cego zapalenia stawÃ³w krÄ™gosÅ‚upa. Adalimumab podaje siÄ™ pacjentom cierpiÄ…cym na chorobÄ™ LeÅ›niowskiego-Crohna oraz wrzodziejÄ…ce zapalenie jelita grubego. PozostaÅ‚ymi wskazaniami do stosowania adalimumabu sÄ… Å‚uszczyca plackowata,Â  trÄ…dzik odwrÃ³cony (hidradenitis suppurativa, HS),Â  panuveitisÂ Â  (stan zapalny naczyniÃ³wki oraz innych struktur wewnÄ™trznych gaÅ‚ki ocznej). Pozarejestracyjnie (leczenie off-label) adalimumab stosowany jest w terapii piodermii zgorzelinowej. ",,,,,,,,,,,,,,,,,,,,,,,,,,zapalenie stawow,
Adapalen,Adapalene,,,padaczka,,,"Nie naleÅ¼y stosowaÄ‡ adapalenu uÂ kobiet w ciÄ…Å¼y oraz u kobiet planujÄ…cych potomstwo. Badania na zwierzÄ™tach wykazaÅ‚y, Å¼e duÅ¼e dawki adapalenu stosowanego doustnie wywierajÄ… toksyczny wpÅ‚yw na pÅ‚Ã³d. DaneÂ dotyczÄ…ce miejscowegoÂ stosowania substancji u kobiet w ciÄ…Å¼y sÄ… ograniczone.
",https://www.doz.pl//leki/w14-Adapalen,adapalen,"Adapalen posiadaÂ dziaÅ‚anie podobne do retinoidÃ³w. Normalizuje procesyÂ rogowacenia i rÃ³Å¼nicowania naskÃ³rka, dziaÅ‚a przeciwzapalnie oraz zapobiega tworzeniu siÄ™ zaskÃ³rnikÃ³w.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Adefowir,Adefovir,,,,,zwiekszenie stezenia olejka gozdzikowego i eukaliptusowego w surowicy,"PosiÅ‚ek bogaty w tÅ‚uszcz wydÅ‚uÅ¼a czas potrzebny do osiÄ…gniÄ™cia maksymalnego stÄ™Å¼enia adefowiru we krwi Å›rednio o 120 minut.Â 
Adefowir zmniejsza tempo eliminacji olejku goÅºdzikowego i eukaliptusowego, co moÅ¼e skutkowaÄ‡ zwiÄ™kszonym stÄ™Å¼eniem olejkÃ³w w surowicy krwi.
",https://www.doz.pl//leki/w15-Adefowir,"adefowir, dipiwoksyl adefowiru","Adefowir stosuje siÄ™ w terapii wirusowego zapalenia wÄ…troby typu B. Lek jest ordynowany osobom dorosÅ‚ym w przypadku wyrÃ³wnanej czynnoÅ›ci wÄ…troby bÄ…dÅº w terapii skojarzonej z innym lekiem przy niewyrÃ³wnanej czynnoÅ›ci wÄ…troby. Do rozpoczÄ™cia terapii lekiem konieczne jest stwierdzenie czynnej replikacji wirusa  Hepatitis B Virus, stan zapalny i zmiany zwÅ‚Ã³knieniowe wÄ…troby oraz zwiÄ™kszenie stÄ™Å¼enia aminotransferazy alaninowej w surowicy krwi. Adefowir bywa Å‚Ä…czony z lamiwudynÄ…, co daje lepsze efekty terapeutyczne wÅ›rÃ³d czÄ™Å›ci pacjentÃ³w.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,WZWB,
Adenozyna,Adenosine,,"herbata, kawa, czekolada, napoje energetyczne",,,,"Nie naleÅ¼y spoÅ¼ywaÄ‡ produktÃ³w zawierajÄ…cych ksantyny, jak np. herbata, kawa, czekolada, napoje energetyczne typu cola, na minimum 12 godzin przed podaniem adenozyny.
",https://www.doz.pl//leki/w16-Adenozyna,adenozyna,"Adenozyna podawana jest w przypadku koniecznoÅ›ci szybkiego przerwania nawrotnego czÄ™stoskurczu wÄ™zÅ‚owego i przedsionkowo-komorowego, w celu szybkiego przywrÃ³cenia prawidÅ‚owego rytmu zatokowego w napadowym czÄ™stoskurczu nadkomorowym lub zespole Wolffa-Parkinsona-Whiteâ€™a (zaburzeniu pracy serca polegajÄ…cym na wystÄ™powaniu dodatkowej drogi przewodzenia miÄ™dzy przedsionkami a komorami) oraz w diagnostyce rÃ³Å¼nicujÄ…cej tachyarytmie u osÃ³b dorosÅ‚ych i leczeniu ostrej porfirii przerywanej.",,,,,,,,,,,,,,,,,,,,,,,,,,zawal serca,
Adrenalina,Adrenaline,,alkohol,,,,"Alkohol nasila dziaÅ‚anie adrenaliny.
",https://www.doz.pl//leki/w17-Adrenalina,"adrenalina, chlorowodorek epinefryny, epinefryna, winian adrenaliny","Adrenalina jest stosowana w sytuacji zatrzymania krÄ…Å¼enia w celu przywrÃ³cenia bicia serca i czynnoÅ›ci oddechowej, we wstrzÄ…sie kardiogennym lub anafilaktycznym i w innych ostrych reakcjach alergicznych wywoÅ‚anych np. ukÄ…szeniem owadÃ³w, pokarmem, lekami itp. Innym wskazaniem do stosowania adrenaliny jest ciÄ™Å¼ka bradykardia i przerwanie skurczu oskrzeli w napadzie astmy oskrzelowej.",,,,,,,,,,,,,,,,,,,,,,,,,,wstrzas anafilaktyczny,
Afamelanotyd,Afamelanotide,,,,,mozliwosc powstania krwawien,"U pacjentÃ³w zaÅ¼ywajÄ…cychÂ leki zmniejszajÄ…ce krzepliwoÅ›Ä‡ krwi (warfaryna, antagonistyÂ witaminy K, kwas acetylosalicylowy, niesteroidowe leki przeciwzapalne), moÅ¼e pojawiÄ‡ siÄ™ nasilone zasinienie lub krwawienie w miejscu podania implantu z afamelanotydem.
",https://www.doz.pl//leki/w18-Afamelanotyd,afamelanotyd,Afamelanotyd wskazany jestÂ w zapobieganiu nadwraÅ¼liwoÅ›ci na Å›wiatÅ‚o sÅ‚oneczne u dorosÅ‚ych pacjentÃ³w cierpiÄ…cych na protoporfiriÄ™Â erytropoetycznÄ….,,,,,,,,,,,,,,,,,,,,,,,,,,wstrzas anafilaktyczny,
Afatynib,Afatinib,,"tluszcze, dziurawiec",,,,"PrzyjÄ™cie leku z posiÅ‚kiem (zwÅ‚aszcza bogatotÅ‚uszczowym) wiÄ…Å¼e siÄ™ ze zmniejszeniem ekspozycji na afatynib, co wpÅ‚ywa na obniÅ¼enie skutecznoÅ›ci leczenia.
dziurawiec (Hypericum perforatum) moÅ¼e zmniejszyÄ‡ ekspozycjÄ™ na afatynib, a tym samym skutecznoÅ›Ä‡ dziaÅ‚ania przeciwnowotworowego.
",https://www.doz.pl//leki/w19-Afatynib,afatynib,Afatynib jest stosowany w leczeniu pacjentÃ³w z miejscowo zaawansowanym lub z przerzutami niedrobnokomÃ³rkowym rakiem pÅ‚uc z mutacjami EGFR (jeÅ¼eli wczeÅ›niej pacjent nie byÅ‚ poddany leczeniu inhbitorami kinazy tyrozynowej receptora naskÃ³rkowego czynnika wzrostu) oraz w niedrobnokomÃ³rkowym raku pÅ‚uc o histologii pÅ‚askonabÅ‚onkowej (jeÅ¼eli doszÅ‚o do pogorszenia stanu pacjenta w trakcie lub po zakoÅ„czeniu stosowania zwiÄ…zkÃ³w platyny).,,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Agomelatyna,Agomelatine,,alkohol,,,,"PosiÅ‚ek bogatotÅ‚uszczowy, moÅ¼e mieÄ‡ wpÅ‚yw na szybkoÅ›Ä‡ wchÅ‚aniania oraz dostÄ™pnoÅ›Ä‡ biologicznÄ… agomelatyny.
Nie zalecane jest, stosowanie agomelatyny u pacjentÃ³w z chorobami wywoÅ‚anymi naduÅ¼ywaniem alkoholu orazÂ spoÅ¼ywajÄ…cych znaczneÂ iloÅ›ci alkoholu, ze wzglÄ™du na ryzyko toksycznoÅ›ci i trwaÅ‚ego uszkodzenia wÄ…troby.
Preparaty z agomelatynÄ…Â zawierajÄ… laktozÄ™. Zatem takie lekiÂ nie powinnyÂ byÄ‡ podawane pacjentomÂ cierpiÄ…cym naÂ dziedzicznÄ… nietolerancjÄ™Â galaktozy lub niedobÃ³r enzymuÂ laktazyÂ oraz pacjentom zÂ zespoÅ‚em zÅ‚ego wchÅ‚aniania glukozy-galaktozy.
",https://www.doz.pl//leki/w22-Agomelatyna,agomelatyna,"Agomelatyna jest wskazana doÂ leczeniaÂ duÅ¼ych epizodÃ³w depresyjnych u osÃ³b dorosÅ‚ych. Jest toÂ skutecznyÂ lekiÂ przeciwdepresyjnyÂ oÂ szybkim poczÄ…tku dziaÅ‚ania, aÂ jegoÂ skutecznoÅ›Ä‡ terapeutyczna utrzymuje siÄ™ przez dÅ‚uÅ¼szy czas.",,,,,,,,,,,,,,,,,,,,,,,,,,depresja,
Akarboza,Acarbose,,alkohol,,,,"Podczas stosowania akarbozy naleÅ¼y ograniczyÄ‡ spoÅ¼ycie produktÃ³w spoÅ¼ywczych zawierajÄ…cych sacharozÄ™ ze wzglÄ™du na moÅ¼liwoÅ›Ä‡ wystÄ…pienia biegunek lub innych objawÃ³w niepoÅ¼Ä…danych ze strony ukÅ‚adu pokarmowego.
Nie naleÅ¼y spoÅ¼ywaÄ‡ alkoholu podczas leczenia akarbozÄ…. Alkohol spoÅ¼yty w trakcie leczenia moÅ¼e znaczÄ…co obniÅ¼aÄ‡ poziom cukru we krwi i wywoÅ‚ywaÄ‡ objawy takie jak nadmierne pocenie, uczucie gÅ‚odu, koÅ‚atanie serca, niepokÃ³j, zaburzenia widzenia, drÅ¼enie rÄ…k, bÃ³le gÅ‚owy, sennoÅ›Ä‡ i bladoÅ›Ä‡.
",https://www.doz.pl//leki/w24-Akarboza,akarboza,Akarboza jest lekiem przeciwcukrzycowym.,,,,,,,,,,,,,,,,,,,,,,,,,,cukrzyca,
Aksytynib,Axitinib,,grejpfrut,,,,"W trakcie terapii aksytynibem nie zaleca siÄ™ spoÅ¼ywania grejpfrutÃ³w, gdyÅ¼ moÅ¼e on zwiÄ™kszaÄ‡ stÄ™Å¼enie leku w osoczu.
",https://www.doz.pl//leki/w26-Aksytynib,aksytynib,"Wskazaniem do stosowania aksytynibu jest leczenie zaawansowanego raka komÃ³rek nerek u pacjentÃ³w dorosÅ‚ych, u ktÃ³rych nie powiodÅ‚a siÄ™ wczeÅ›niejsza terapiaÂ sunitynibem lub cytokinÄ…. Badany jest teÅ¼ w kierunku leczenia nowotworu trzustki i tarczycy.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Albendazol,Albendazole,,tluszcze,,,,"Zastosowanie albendazolu Å‚Ä…cznie z pokarmem o duÅ¼ej zawartoÅ›ci tÅ‚uszczu zwiÄ™ksza piÄ™ciokrotnie jego wchÅ‚anianie.
",https://www.doz.pl//leki/w1381-Albendazol,albendazol,"Albendazol to lek stosowany w przypadku zaraÅ¼eniach pasoÅ¼ytami. Jest lekiem przeciwpasoÅ¼ytniczym (przeciwrobaczym). Albendazol dziaÅ‚a na formy dorosÅ‚e pasoÅ¼ytÃ³w, a takÅ¼e ich larwy i jaja.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,pasozyty,
Albiglutyd,Albiglutide,,alkohol,hipoglikemia,,,"Albiglutyd podaje siÄ™ niezaleÅ¼nie od posiÅ‚kÃ³w. Ze wzglÄ™du na ryzyko odwodnienia na wskutek moÅ¼liwych wymiotÃ³w i biegunki zaleca siÄ™ przyjmowanie zwiÄ™kszonej iloÅ›ci pÅ‚ynÃ³w podczas terapii lekiem.
Alkohol wpÅ‚ywa na poziom glukozy we krwi. NaleÅ¼y unikaÄ‡ spoÅ¼ywania alkoholu zwÅ‚aszcza po wysiÅ‚ku fizycznym lub na pusty Å¼oÅ‚Ä…dek poniewaÅ¼ sprzyja to wystÄ…pieniu hipoglikemii.
Dziurawiec zwyczajny zmniejsza siÅ‚Ä™ dziaÅ‚ania albiglutydu, podobnie jak roÅ›lina przÄ™Å›l chiÅ„ska (Ephedra sinica). Guma guar pozyskiwana zÂ nasion Cyamopsis tetragonolobus (stosowana jako dodatek do Å¼ywnoÅ›ci) zwiÄ™ksza ryzyko hipoglikemii podczas terapii albiglutydem. Podobnie dziaÅ‚a olej rybny.
",https://www.doz.pl//leki/w29-Albiglutyd,albiglutyd,Albiglutyd jest lekiem biologicznym powstaÅ‚ym przez poÅ‚Ä…czenie ludzkiej albuminy z glukagonopodobnym peptydem-1 opornym na dziaÅ‚anie dipeptydylopeptydazy. Jest zaliczany do grupy agonistÃ³w hormonu jelitowego GLP 1 (peptyd glukagonopodobny). Albiglutyd stosowany jest u dorosÅ‚ych pacjentÃ³w w celuÂ  stabilizacji poziomu glukozy we krwi w przypadku cukrzycy typu II. MoÅ¼e byÄ‡ uÅ¼ywany w monoterapii bÄ…dÅº teÅ¼ w poÅ‚Ä…czeniu z innymi lekami przeciwcukrzycowymi i insulinÄ…. ,,,,,,,,,,,,,,,,,,,,,,,,,,cukrzyca,
Alektynib,Alectinib,,grejpfrut,,,,"Stosowanie soku grejpfrutowego wraz z alektynibem moÅ¼e hamowaÄ‡ jego metabolizm i zwiÄ™kszaÄ‡ stÄ™Å¼enie alektynibu we krwi.
NaleÅ¼y mieÄ‡ na uwadze, iÅ¼ grejpfrut oraz sok z gorzkich pomaraÅ„czy hamujÄ… metabolizm alektynibu. Ponadto preparaty Dziurawca zwyczajnego (Hypericum perforatum) indukujÄ… metabolizm alektynibu. Raczej nie ma to znaczenia klinicznego, ze wzglÄ™du na aktywnoÅ›Ä‡ metabolitu M4, jednak zaleca siÄ™ ostroÅ¼noÅ›Ä‡ w kwestii takich poÅ‚Ä…czeÅ„. NaleÅ¼y pamiÄ™taÄ‡, Å¼e nie moÅ¼na wykluczyÄ‡ zmniejszajÄ…cego wpÅ‚ywu alektynibu na skutecznoÅ›Ä‡ doustnych Å›rodkÃ³w antykoncepcyjnych.
",https://www.doz.pl//leki/w1297-Alektynib,alektynib,Alektynib jest wskazany w leczeniu niedrobnokomÃ³rkowego raka pÅ‚uca (NDRP) u osÃ³b dorosÅ‚ych. MoÅ¼e on byÄ‡ lekiem pierwszego rzutu w zaawansowanym ALK-dodatnim NDRP lub po wczeÅ›niejszej terapii kryzotynibem.,,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
